
 Status
 ------
Stopped
2025-12-12 05:09:41 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.011 s, total=0.060 s; sync files=2, longest=0.007 s, average=0.006 s; distance=0 kB, estimate=0 kB; lsn=0/18456E0, redo lsn=0/18456E0
2025-12-12 05:10:09 +07 LOG:  database system was shut down at 2025-12-12 05:09:41 +07
2025-12-12 05:15:09 +07 LOG:  checkpoint starting: time
2025-12-12 05:15:09 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.009 s, total=0.044 s; sync files=2, longest=0.005 s, average=0.005 s; distance=0 kB, estimate=0 kB; lsn=0/18457E8, redo lsn=0/1845790
2025-12-12 17:27:49 +07 LOG:  database system was interrupted; last known up at 2025-12-12 05:15:09 +07
2025-12-12 17:27:53 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-12 17:27:53 +07 LOG:  redo starts at 0/1845790
2025-12-12 17:27:53 +07 LOG:  invalid record length at 0/1845898: expected at least 24, got 0
2025-12-12 17:27:53 +07 LOG:  redo done at 0/1845860 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-12 17:27:53 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-12 17:27:53 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.010 s, total=0.062 s; sync files=2, longest=0.006 s, average=0.005 s; distance=0 kB, estimate=0 kB; lsn=0/1845898, redo lsn=0/1845898
2025-12-24 07:04:56 +07 LOG:  database system was interrupted; last known up at 2025-12-12 17:27:53 +07
2025-12-24 07:05:01 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-24 07:05:01 +07 LOG:  redo starts at 0/1845910
2025-12-24 07:05:01 +07 LOG:  invalid record length at 0/1845948: expected at least 24, got 0
2025-12-24 07:05:01 +07 LOG:  redo done at 0/1845910 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-24 07:05:01 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-24 07:05:01 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.007 s, total=0.050 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1845948, redo lsn=0/1845948
2025-12-25 23:47:37 +07 LOG:  database system was interrupted; last known up at 2025-12-24 07:05:01 +07
2025-12-25 23:47:39 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-12-25 23:47:39 +07 LOG:  redo starts at 0/18459C0
2025-12-25 23:47:39 +07 LOG:  invalid record length at 0/18459F8: expected at least 24, got 0
2025-12-25 23:47:39 +07 LOG:  redo done at 0/18459C0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-12-25 23:47:39 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-12-25 23:47:39 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.009 s, total=0.043 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/18459F8, redo lsn=0/18459F8
2026-01-01 20:21:28 +07 LOG:  shutting down
2026-01-01 20:21:28 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-01 20:21:28 +07 ERROR:  canceling statement due to user request
2026-01-01 20:21:28 +07 ERROR:  canceling statement due to user request
2026-01-01 20:21:28 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.015 s, sync=0.001 s, total=0.096 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1845AA8, redo lsn=0/1845AA8
2026-01-01 20:22:06 +07 LOG:  database system was shut down at 2026-01-01 20:21:28 +07
2026-01-01 20:27:06 +07 LOG:  checkpoint starting: time
2026-01-01 20:27:06 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.007 s, total=0.043 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1845BB0, redo lsn=0/1845B58
2026-01-02 08:30:51 +07 LOG:  shutting down
2026-01-02 08:30:51 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-02 08:30:51 +07 ERROR:  canceling statement due to user request
2026-01-02 08:30:51 +07 ERROR:  canceling statement due to user request
2026-01-02 08:30:51 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.020 s, sync=0.001 s, total=0.110 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1845C60, redo lsn=0/1845C60
2026-01-02 08:31:19 +07 LOG:  database system was shut down at 2026-01-02 08:30:51 +07
2026-01-02 08:36:20 +07 LOG:  checkpoint starting: time
2026-01-02 08:36:20 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.008 s, total=0.052 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1845D68, redo lsn=0/1845D10
2026-01-16 08:57:20 +07 LOG:  shutting down
2026-01-16 08:57:20 +07 ERROR:  canceling statement due to user request
2026-01-16 08:57:20 +07 ERROR:  canceling statement due to user request
2026-01-16 08:57:20 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-16 08:57:20 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.028 s, sync=0.001 s, total=0.087 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1845E18, redo lsn=0/1845E18
2026-01-16 08:57:52 +07 LOG:  database system was shut down at 2026-01-16 08:57:20 +07
2026-01-16 09:02:52 +07 LOG:  checkpoint starting: time
2026-01-16 09:02:52 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.011 s, total=0.056 s; sync files=2, longest=0.006 s, average=0.006 s; distance=0 kB, estimate=0 kB; lsn=0/1845F20, redo lsn=0/1845EC8
2026-01-19 16:32:48 +07 LOG:  shutting down
2026-01-19 16:32:48 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-19 16:32:48 +07 ERROR:  canceling statement due to user request
2026-01-19 16:32:48 +07 ERROR:  canceling statement due to user request
2026-01-19 16:32:48 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.080 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1845FD0, redo lsn=0/1845FD0
2026-01-19 16:33:20 +07 LOG:  database system was shut down at 2026-01-19 16:32:48 +07
2026-01-19 16:34:19 +07 LOG:  shutting down
2026-01-19 16:34:19 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-19 16:34:19 +07 ERROR:  canceling statement due to user request
2026-01-19 16:34:19 +07 ERROR:  canceling statement due to user request
2026-01-19 16:34:20 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.033 s, total=0.105 s; sync files=2, longest=0.026 s, average=0.017 s; distance=0 kB, estimate=0 kB; lsn=0/1846098, redo lsn=0/1846098
2026-01-19 16:34:50 +07 LOG:  database system was shut down at 2026-01-19 16:34:20 +07
2026-01-19 16:39:50 +07 LOG:  checkpoint starting: time
2026-01-19 16:39:50 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.014 s, total=0.102 s; sync files=2, longest=0.009 s, average=0.007 s; distance=0 kB, estimate=0 kB; lsn=0/18461A0, redo lsn=0/1846148
2026-01-23 16:25:46 +07 LOG:  shutting down
2026-01-23 16:25:46 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-23 16:25:46 +07 ERROR:  canceling statement due to user request
2026-01-23 16:25:46 +07 ERROR:  canceling statement due to user request
2026-01-23 16:25:46 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.057 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1846250, redo lsn=0/1846250
2026-01-23 16:28:15 +07 LOG:  database system was shut down at 2026-01-23 16:25:46 +07
2026-01-23 16:28:17 +07 LOG:  shutting down
2026-01-23 16:28:17 +07 LOG:  checkpoint starting: shutdown immediate
2026-01-23 16:28:17 +07 ERROR:  canceling statement due to user request
2026-01-23 16:28:17 +07 ERROR:  canceling statement due to user request
2026-01-23 16:28:17 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.016 s, total=0.092 s; sync files=2, longest=0.010 s, average=0.008 s; distance=0 kB, estimate=0 kB; lsn=0/18462C8, redo lsn=0/18462C8
2026-01-23 20:00:34 +07 LOG:  database system was shut down at 2026-01-23 16:28:17 +07
2026-01-23 20:05:34 +07 LOG:  checkpoint starting: time
2026-01-23 20:05:34 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.014 s, total=0.065 s; sync files=2, longest=0.010 s, average=0.007 s; distance=0 kB, estimate=0 kB; lsn=0/18463D0, redo lsn=0/1846378
2026-01-25 08:07:17 +07 LOG:  database system was interrupted; last known up at 2026-01-23 20:05:34 +07
2026-01-25 08:07:21 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2026-01-25 08:07:21 +07 LOG:  redo starts at 0/1846378
2026-01-25 08:07:21 +07 LOG:  invalid record length at 0/1846480: expected at least 24, got 0
2026-01-25 08:07:21 +07 LOG:  redo done at 0/1846448 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-01-25 08:07:21 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2026-01-25 08:07:21 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.012 s, total=0.058 s; sync files=2, longest=0.006 s, average=0.006 s; distance=0 kB, estimate=0 kB; lsn=0/1846480, redo lsn=0/1846480
2026-02-01 07:18:54 +07 LOG:  database system was interrupted; last known up at 2026-01-25 08:07:21 +07
2026-02-01 07:19:04 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2026-02-01 07:19:04 +07 LOG:  redo starts at 0/18464F8
2026-02-01 07:19:04 +07 LOG:  invalid record length at 0/1846530: expected at least 24, got 0
2026-02-01 07:19:04 +07 LOG:  redo done at 0/18464F8 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-02-01 07:19:04 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2026-02-01 07:19:04 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.019 s, total=0.071 s; sync files=2, longest=0.012 s, average=0.010 s; distance=0 kB, estimate=0 kB; lsn=0/1846530, redo lsn=0/1846530
2026-02-01 11:52:09 +07 LOG:  database system was interrupted; last known up at 2026-02-01 07:19:04 +07
2026-02-01 11:52:13 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2026-02-01 11:52:13 +07 LOG:  redo starts at 0/18465A8
2026-02-01 11:52:13 +07 LOG:  invalid record length at 0/18465E0: expected at least 24, got 0
2026-02-01 11:52:13 +07 LOG:  redo done at 0/18465A8 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-02-01 11:52:13 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2026-02-01 11:52:13 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.022 s, total=0.071 s; sync files=2, longest=0.017 s, average=0.011 s; distance=0 kB, estimate=0 kB; lsn=0/18465E0, redo lsn=0/18465E0
2026-02-02 00:51:29 +07 LOG:  database system was interrupted; last known up at 2026-02-01 11:52:13 +07
2026-02-02 00:51:33 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2026-02-02 00:51:33 +07 LOG:  redo starts at 0/1846658
2026-02-02 00:51:33 +07 LOG:  invalid record length at 0/1846690: expected at least 24, got 0
2026-02-02 00:51:33 +07 LOG:  redo done at 0/1846658 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-02-02 00:51:33 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
